-0.372, -0.364, 0.854
-0.233, -0.278, 0.778
-0.220, -0.193, 0.768
-0.257, -0.204, 0.778
-0.168, -0.397, 0.718
0.158, 0.214, 0.912
-0.399, -0.433, 0.891
-0.270, -0.303, 0.806
0.572, 0.014, 1.043
-0.377, -0.467, 0.899

0.423, 0.158, 1.030
-0.000, -0.000, 0.000
0.640, 0.147, 1.034
0.062, -0.114, 0.861
-0.199, -0.390, 0.718
0.672, 0.060, 1.059
-0.097, -0.019, 0.916
-0.310, -0.048, 0.888
-0.220, -0.338, 0.756
-0.254, -0.069, 0.884
0.209, 0.361, 1.002

0.187, 0.048, 0.962
0.800, -0.160, 1.113
-0.255, -0.026, 0.850
-0.374, -0.426, 0.932
0.317, 0.135, 0.928
0.787, -0.188, 1.161
0.107, -0.121, 0.844
0.422, 0.113, 1.040
0.319, 0.099, 0.972
0.303, 0.162, 1.037

0.635, 0.085, 1.056
0.609, 0.141, 1.068
0.619, -0.019, 1.043
-0.184, -0.379, 0.747
0.573, 0.248, 1.104
-0.237, -0.018, 0.872
0.180, 0.407, 1.059
0.189, -0.201, 0.890
-0.230, -0.046, 0.887
-0.747, -0.831, 1.578

0.147, -0.134, 0.872
0.088, -0.093, 0.849
0.123, 0.432, 1.067
0.566, -0.019, 1.067
0.545, 0.248, 1.104
0.104, 0.368, 1.041
0.001, -0.158, 0.775
0.470, 0.147, 1.013
-0.644, -0.010, 1.363
0.504, -0.168, 1.068

0.472, 0.113, 1.041
0.169, 0.023, 0.985
0.421, -0.123, 1.032
-0.716, -0.428, 1.357
-0.384, -0.157, 0.959
0.539, 0.203, 1.107
0.230, 0.441, 0.985
-0.225, -0.233, 0.807
0.107, -0.322, 0.868
0.573, 0.221, 1.113

0.103, -0.149, 0.866
0.186, 0.216, 0.922
0.172, -0.024, 1.020
-0.266, -0.096, 0.878
0.367, 0.048, 0.972
-0.285, -0.073, 0.874
0.286, 0.054, 0.987
